Company Name,Website,Industry,Services,Location,Number of Employees,Annual Revenue,Managing Director / Owner,Email Address,Phone Number,LinkedIn Company Page,Company LinkedIn URL,Decision Maker LinkedIn,Companies House Number,Uses CRM (unverified),Online Booking (unverified),Live Chat (unverified),Website Outdated Score (unverified),Google Reviews (verified),Google Rating (verified),Automation Opportunity,Suggested AI Automation Package,Opening Line,Lead Score /100
Green Square Dental & Implant Centre,,Private dentistry,"Implants and cosmetic dentistry",Sheffield,,,,,,,,,,,,,,,,Out-of-hours implant enquiries,AI Receptionist; Treatment follow-up,,
High Street Dental Care,,Private dentistry,"Implant expert practice",Sheffield,,,,,,,,,,,,,,,,Out-of-hours implant enquiries,AI Receptionist; Treatment follow-up,,
Shine Dental Care,,Private dentistry,"Dental implants Nottinghamshire",Nottingham,,,,,,,,,,,,,,,,Out-of-hours implant enquiries,AI Receptionist; Treatment follow-up,,
The Dental Care Clinic,,Private dentistry,"Orthodontics, whitening, implants",Newcastle,,,,,,,,,,,,,,,,Out-of-hours implant enquiries,AI Receptionist; Treatment follow-up,,
Atkinson Dental & Implant Clinic,,Private dentistry,"Private implants and whitening",Newcastle,,,,,,,,,,,,,,,,Out-of-hours implant enquiries,AI Receptionist; Treatment follow-up,,
Newcastle Dental Care,,Private dentistry,"NHS and private dentistry",Newcastle,,,,,,,,,,,,,,,,Out-of-hours implant enquiries,AI Receptionist; Treatment follow-up,,
Exe Insurance,,Insurance broking,"Independent commercial insurance broker",Exeter,,,,,,,,,,,,,,,,Renewal and servicing admin,Renewal automation; Quote chasing,,
Motts Insurance Brokers,,Insurance broking,"Independent commercial insurance broker",Cardiff,,,,,,,,,,,,,,,,Renewal and servicing admin,Renewal automation; Quote chasing,,
Mark Richard Insurance Brokers,,Insurance broking,"Independent broker Bristol and Bath",Bristol,,,,,,,,,,,,,,,,Renewal and servicing admin,Renewal automation; Quote chasing,,
Brunel Group,,Insurance broking,"Independent insurance brokerage est 2005",Bristol,,,,,,,,,,,,,,,,Renewal and servicing admin,Renewal automation; Quote chasing,,
Hayes Parsons Insurance Brokers,,Insurance broking,"Chartered broker, commercial and marine",Bristol,,,,,,,,,,,,,,,,Renewal and servicing admin,Renewal automation; Quote chasing,,
Castlemead Insurance Brokers,,Insurance broking,"Insurance brokers",Bristol,,,,,,,,,,,,,,,,Renewal and servicing admin,Renewal automation; Quote chasing,,
Fernlea Vets,,Veterinary,"Independent practice, 2 sites, est 1986",Bristol,,,,,,,,,,,,,,,,Recall chasing and phone overflow,Recall reminders; AI Receptionist,,
Animal Health Centre,,Veterinary,"Small animal practice est 2002",Bristol,,,,,,,,,,,,,,,,Recall chasing and phone overflow,Recall reminders; AI Receptionist,,
The Lagom Clinic,,Private GP,"Private GP, same-week appointments",Bristol,,,,,,,,,,,,,,,,Booking and health-screen follow-up,AI Receptionist; Recall reminders,,
Mayfield Clinic,,Private GP,"Annual health screens and medicals",Bristol,,,,,,,,,,,,,,,,Booking and health-screen follow-up,AI Receptionist; Recall reminders,,
Beard Medical,,Private GP,"Private general practice, Clifton",Bristol,,,,,,,,,,,,,,,,Booking and health-screen follow-up,AI Receptionist; Recall reminders,,
Sigma Recruitment,,Recruitment,"Manufacturing and engineering recruitment",Bristol,,,,,,,,,,,,,,,,CV screening volume,CV screener; Candidate follow-up,,
Ashley Rees,,Recruitment,"Finance and accountancy recruitment",Bristol,,,,,,,,,,,,,,,,CV screening volume,CV screener; Candidate follow-up,,
Time 4 Recruitment Solutions,,Recruitment,"Construction, M&E, industrial staffing",Bristol,,,,,,,,,,,,,,,,CV screening volume,CV screener; Candidate follow-up,,
