Rank,Company,Score,What They Do,Phone,Website,What To Pitch
111,Swire Energy Services,59,"Offshore containers, energy equipment services",01224 872707,not checked yet,"Skip - procurement-gated, almost certainly has an agency"
112,United Fuels,58,Heating oil delivery,01756 691222,not checked yet,Order taking + delivery scheduling - winter phone peaks
113,Southern Fuels Ltd,58,Heating oil delivery,01404 831775,not checked yet,Order taking + delivery scheduling - winter phone peaks
114,LV Fuel and Oil Tank Services,58,"Oil tank replacement, fuel services",0800 799 9739,not checked yet,Website + call answering - check what they have first
115,B&S Pipeline Solutions Ltd,58,"Drainage clearance, pipeline solutions",01343 821775,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
116,A E T Ltd (Advanced Engineering Techniques),58,Special steel products manufacturing,0114 247 5725,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
117,Neptune E&P UK,58,North Sea exploration and production,01224 281000,not checked yet,"Skip - procurement-gated, almost certainly has an agency"
118,Geoff Boorman Fuels,57,Heating oil delivery,01732 863834,not checked yet,Order taking + delivery scheduling - winter phone peaks
119,Adapt Gas Solutions Limited,57,Commercial gas / FM services,0161 526 5588,not checked yet,Out-of-hours cover - a missed call is a lost contract
120,Yorkshire Oils Ltd,57,Heating oil delivery,01423 396789,not checked yet,Order taking + delivery scheduling - winter phone peaks
121,Your NRG Yorkshire,57,Heating oil supply,01904 409700,not checked yet,Order taking + delivery scheduling - winter phone peaks
122,Ekspan Limited,57,"Precision manufacturing, reverse engineering",0114 261 1126,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
123,Coltech Precision Engineering,57,Precision engineering services,0114 242 4281,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
124,Engineering CFD Ltd,57,Computational fluid dynamics consultancy,0114 296 1005,not checked yet,Out-of-hours cover - a missed call is a lost contract
125,Jarman W T & Sons,57,Heating oil delivery,01570 422434,not checked yet,Order taking + delivery scheduling - winter phone peaks
126,Bracebridge Engineering Ltd,57,Engineering manufacturing,0121 331 1503,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
127,Propbrook Engineering Ltd,57,Precision engineering manufacturing,0121 359 7097,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
128,Wilco Manufacturing Ltd,57,Manufacturing and supply,0121 772 6212,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
129,Edmar Engineering Company Ltd,57,Engineering services,0121 327 1022,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
130,Conway Precision Engineering,57,Precision engineering manufacturing,0121 327 2301,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
131,Moorland Fuels,56,Heating oil delivery,01837 55700,not checked yet,Order taking + delivery scheduling - winter phone peaks
132,Commercial Gas Ltd,55,Commercial gas services,0141 891 5315,not checked yet,Out-of-hours cover - a missed call is a lost contract
133,Pipework Fabrication Services Ltd,55,Pipework fabrication and supply,07903 144555,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
134,Aztec Oils Southwest,53,Fuel oil supply and delivery,01626 835046,not checked yet,Order taking + delivery scheduling - winter phone peaks
135,Advanced Engineering (UK) Ltd,53,Engineering manufacturing,0121 523 4363,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
136,Pipe Services Fabrication Ltd (PSFL),53,Pipe fabrication and supply,020 8858 2626,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
137,Kernow Oils Ltd,52,Fluids and lubrication supply for industrial use,01736 757002,not checked yet,Order taking + delivery scheduling - winter phone peaks
138,Lubricants SW Limited,52,Lubricant manufacturing and supply,01822 855885,not checked yet,Order taking + delivery scheduling - winter phone peaks
139,Rix Petroleum - North Yorkshire,52,Heating oil and fuel delivery,01944 728243,not checked yet,Order taking + delivery scheduling - winter phone peaks
140,Oil 4 Wales Llantrisant,52,Heating oil and fuel supply,01443 800820,not checked yet,Order taking + delivery scheduling - winter phone peaks
141,Brand Mechanical Engineering Ltd,52,Precision mechanical engineering,0121 327 6622,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
142,Shaw Pipework and Fabrication,52,Pipework fabrication and installation,020 4541 2201,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
143,Humphreys Pipe Fabricators Limited,52,Pipe fabrication services,01279 436623,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
144,Projects and Maintenance Ltd,52,Pipework projects and maintenance,01268 288754,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
145,Fuel Oils (Holdings) Ltd - Erith,52,Heating oil and fuel delivery,01322 349035,not checked yet,Order taking + delivery scheduling - winter phone peaks
146,Spirit Energy,52,Oil and gas exploration and production,01224 415000,not checked yet,"Skip - procurement-gated, almost certainly has an agency"
147,CAN (Offshore) Ltd,51,"Offshore inspection, maintenance",01224 870100,not checked yet,"Skip - procurement-gated, almost certainly has an agency"
148,North Sea Energy Services Ltd,50,North Sea energy support services,07515 382130,not checked yet,"Skip - procurement-gated, almost certainly has an agency"
149,Wyse Oil Ltd,50,Heating oil supply,01233 714217,not checked yet,Order taking + delivery scheduling - winter phone peaks
150,Heartland Pipelines Limited,49,"Water pipeline installation, directional drilling",01952 260505,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
151,Rix Petroleum - Yorkshire & Humber,49,Heating oil and fuel delivery,01482 407006,not checked yet,Order taking + delivery scheduling - winter phone peaks
152,Abbey Pipework Fabricators Ltd,49,Pipework fabrication,01268 526723,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
153,Pipeline Services (UK) Ltd,49,Pipeline installation and maintenance,01623 740074,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
154,Oil 4 Wales (Milford Haven),49,"Heating oil, boiler service and engineering",01646 692255,not checked yet,Website + call answering - check what they have first
155,T T S Precision Engineering Ltd,48,Precision engineering services,0114 243 4708,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
156,Willand Engineering Company Ltd,48,"Stainless steel fabrication, tank installation",01422 369000,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
157,CNR International UK Ltd,48,North Sea oil and gas operations,01224 303600,not checked yet,"Skip - procurement-gated, almost certainly has an agency"
158,HV Energy Systems Ltd,47,Energy systems services,01454 550424,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
159,Majestic Engineering,47,Precision manufacturing,0114 256 1459,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
160,Ewen Precision Engineering,47,"Precision component manufacturing, ISO accredited",0114 242 3332,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
161,Pipeline Drillers Ltd,47,Pipeline drilling services,01560 482021,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
162,Pipe Services Ltd,47,Pipe supply and services,020 8311 2111,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
163,Oil States Industries (UK) Ltd,46,Offshore oilfield equipment,01224 290000,not checked yet,"Skip - procurement-gated, almost certainly has an agency"
164,Ithaca Energy,46,North Sea oil and gas production,01224 334000,not checked yet,"Skip - procurement-gated, almost certainly has an agency"
165,Helix Oilfield Services Ltd,45,Oilfield support services,01224 240190,not checked yet,"Skip - procurement-gated, almost certainly has an agency"
166,Total Pipeline Technology Ltd,45,Pipeline technology and equipment,0141 428 3908,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
167,Cornerstone Oil & Gas Ltd,45,Oil and gas services,01224 466718,not checked yet,"Skip - procurement-gated, almost certainly has an agency"
168,Watson Fuels York,43,Heating oil delivery,01757 248220,not checked yet,Order taking + delivery scheduling - winter phone peaks
169,Pipeline Energy Solutions Ltd,43,"Gas mains replacement, excavation",0800 069 9404,not checked yet,Quote turnaround - enquiries sit in an inbox between jobs
170,Australis Distribution,42,Fuel distribution and supply,0845 456 0639,not checked yet,Order taking + delivery scheduling - winter phone peaks
171,Lionrock Energy Services Ltd,42,Energy support services,01224 680299,not checked yet,"Skip - procurement-gated, almost certainly has an agency"
172,Aberdeen Oilfield Services,40,Oilfield support services,01224 875500,not checked yet,"Skip - procurement-gated, almost certainly has an agency"
173,JCW Energy Services,40,Energy services,0117 952 2571,not checked yet,"Skip - procurement-gated, almost certainly has an agency"
174,Fuel Oils (Holdings) Ltd - Canterbury,39,Heating oil delivery,01227 464282,not checked yet,Order taking + delivery scheduling - winter phone peaks
175,Zenith Energy,38,Oil and gas operations,01224 460100,not checked yet,"Skip - procurement-gated, almost certainly has an agency"
176,Aquaterra Energy Aberdeen Ltd,37,Offshore engineering solutions,01224 651250,not checked yet,"Skip - procurement-gated, almost certainly has an agency"
