Outreach Rank,Outreach Score /100,Company Name,Segment,Phone Number,Phone Type,Contact Channel,Best Time To Call,Ask For,Contact Approach,Location,Industry,Services,Google Reviews (verified),Google Rating (verified),Website,Web Dev Opportunity,Lead Score /100,Outreach Breakdown,Opening Line
16,88,Peter Foster Engineering Ltd,domestic trade,07725 986933,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 95 reviews shows steady demand - ask how they handle enquiries while on a job.",Bristol,Structural Engineering,Structural calculations and design,95,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=18/30 (95 reviews, 61% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Peter Foster Engineering Ltd outside working hours, what happens to that enquiry?"
17,88,Mega Gas Services Ltd,domestic trade,07913 906111,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 92 reviews shows steady demand - ask how they handle enquiries while on a job.",Nottingham,Gas Engineering,"Boiler replacement, heating pipework",92,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=18/30 (92 reviews, 59% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Mega Gas Services Ltd outside working hours, what happens to that enquiry?"
18,87,Gas Safe (Bristol),domestic trade,0117 964 0078,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally. Lead with their volume: 313 Google reviews means heavy inbound, so ask what happens to enquiries that arrive while they are under a boiler.","Bedminster, Bristol",Gas & Renewable Engineering,"Gas, electrical, solar installation",313,4.9,,"unconfirmed - all website lookups failed, verify manually",91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=27/30 (313 reviews, 91% of domestic trade) reputation=20/20 (4.9 excellent)","Quick one. When someone contacts Gas Safe (Bristol) outside working hours, what happens to that enquiry?"
19,87,Plumbco Heating,domestic trade,0117 901 2266,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally. Lead with their volume: 286 Google reviews means heavy inbound, so ask what happens to enquiries that arrive while they are under a boiler.",Bristol,Gas & Heating Engineering,"Boiler install, AC, heating systems",286,4.9,,"unconfirmed - all website lookups failed, verify manually",91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=27/30 (286 reviews, 89% of domestic trade) reputation=20/20 (4.9 excellent)","Quick one. When someone contacts Plumbco Heating outside working hours, what happens to that enquiry?"
20,87,Hybrid Heating and Gas LTD,domestic trade,07515 535835,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 86 reviews shows steady demand - ask how they handle enquiries while on a job.","Bridgend, Wales",Gas & Oil Heating Engineering,"Gas safety, oil-fired boiler service and install",86,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=17/30 (86 reviews, 56% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Hybrid Heating and Gas LTD outside working hours, what happens to that enquiry?"
21,86,Core Plumbing Heating Gas Ltd,domestic trade,07506 298849,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 79 reviews shows steady demand - ask how they handle enquiries while on a job.","Chapel Allerton, Leeds",Gas & Heating Engineering,"Boiler repair, extension plumbing",79,4.8,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=16/30 (79 reviews, 54% of domestic trade) reputation=20/20 (4.8 excellent)","Quick one. When someone contacts Core Plumbing Heating Gas Ltd outside working hours, what happens to that enquiry?"
22,86,"G.S. Plumbing, Heating & Gas",domestic trade,07952 030504,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 78 reviews shows steady demand - ask how they handle enquiries while on a job.","Giffnock, Glasgow",Gas & Heating Engineering,"Boiler install, radiators, bathrooms",78,4.9,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=16/30 (78 reviews, 52% of domestic trade) reputation=20/20 (4.9 excellent)","Quick one. When someone contacts G.S. Plumbing, Heating & Gas outside working hours, what happens to that enquiry?"
23,85,Gaswise Engineering,domestic trade,07514 717070,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 76 reviews shows steady demand - ask how they handle enquiries while on a job.",Leeds,Gas Engineering,"Boiler install, gas engineering",76,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=15/30 (76 reviews, 50% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Gaswise Engineering outside working hours, what happens to that enquiry?"
24,85,IFix Gas Glasgow,domestic trade,07835 060679,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 76 reviews shows steady demand - ask how they handle enquiries while on a job.",Glasgow,Gas Engineering,"Boiler replacement, gas leak repair",76,4.9,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=15/30 (76 reviews, 50% of domestic trade) reputation=20/20 (4.9 excellent)","Quick one. When someone contacts IFix Gas Glasgow outside working hours, what happens to that enquiry?"
25,85,Trenchless Installations,b2b industrial,07595 024915,mobile,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.",Edinburgh,Pipeline Contracting,Trenchless lead pipe replacement,38,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[b2b industrial]=10/25 demand=30/30 (38 reviews, 99% of b2b industrial) reputation=20/20 (5.0 excellent)",Quick one. How does Trenchless Installations currently handle enquiry intake and quoting when the team is stretched?
26,84,"Gregor Heating, Electrical & Renewable Energy",domestic trade,0117 935 2400,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally. Lead with their volume: 340 Google reviews means heavy inbound, so ask what happens to enquiries that arrive while they are under a boiler.","Warmley, Bristol","Gas, Electrical & Renewable Engineering","Heating, EV, solar, service plans",340,4.6,,"unconfirmed - all website lookups failed, verify manually",91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=28/30 (340 reviews, 92% of domestic trade) reputation=16/20 (4.6 strong)","Quick one. When someone contacts Gregor Heating, Electrical & Renewable Energy outside working hours, what happens to that enquiry?"
27,83,Osprey Engineering Solutions Ltd,commercial trade,0121 720 3356,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00",contracts manager or operations manager,"An admin will screen. Ask for the person who handles incoming enquiries by role, not by name you do not have. Angle on service contracts and planned maintenance scheduling.",Birmingham,Engineering Recruitment/Consultancy,Engineering recruitment and consultancy,306,5.0,,"unconfirmed - all website lookups failed, verify manually",91,"reach[landline]=15/25 segment[commercial trade]=20/25 demand=28/30 (306 reviews, 92% of commercial trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Osprey Engineering Solutions Ltd outside working hours, what happens to that enquiry?"
28,83,Ashton Gas,domestic trade,0117 370 1849,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally. 165 reviews shows steady demand - ask how they handle enquiries while on a job.",Bristol,Gas Engineering,"Gas safety checks, boiler servicing",165,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=23/30 (165 reviews, 78% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Ashton Gas outside working hours, what happens to that enquiry?"
29,83,Gaswise UK,domestic trade,07747 145211,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 87 reviews shows steady demand - ask how they handle enquiries while on a job.",Nottingham,Gas Engineering,"Boiler service, gas safety",87,4.7,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=17/30 (87 reviews, 57% of domestic trade) reputation=16/20 (4.7 strong)","Quick one. When someone contacts Gaswise UK outside working hours, what happens to that enquiry?"
30,82,Bristol Gas Servicing Ltd,domestic trade,07453 279004,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 64 reviews shows steady demand - ask how they handle enquiries while on a job.","Kingswood, Bristol",Gas Engineering,"Boiler repair, replacement, servicing",64,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=12/30 (64 reviews, 42% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Bristol Gas Servicing Ltd outside working hours, what happens to that enquiry?"
31,82,Glasgow Boiler Repairs,domestic trade,0141 766 1511,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally. 154 reviews shows steady demand - ask how they handle enquiries while on a job.",Glasgow,Gas & Heating Engineering,"Boiler install, radiator systems",154,4.9,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=22/30 (154 reviews, 74% of domestic trade) reputation=20/20 (4.9 excellent)","Quick one. When someone contacts Glasgow Boiler Repairs outside working hours, what happens to that enquiry?"
32,82,The Waterman Scotland Ltd,b2b industrial,07917 906309,mobile,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Bridge of Allan, Stirling",Water Infrastructure Contracting,"Borehole drilling, filtration systems",17,4.9,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[b2b industrial]=10/25 demand=27/30 (17 reviews, 90% of b2b industrial) reputation=20/20 (4.9 excellent)","Quick one. When someone contacts The Waterman Scotland Ltd outside working hours, what happens to that enquiry?"
33,81,Rygol Electrical & Renewables,domestic trade,0117 313 7644,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally. 146 reviews shows steady demand - ask how they handle enquiries while on a job.","Staple Hill, Bristol",Renewable Energy / Electrical,"Rewires, solar, battery installation",146,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=21/30 (146 reviews, 71% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Rygol Electrical & Renewables outside working hours, what happens to that enquiry?"
34,81,Ignite Gas Plumbing & Electrics Ltd,domestic trade,07494 671891,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 57 reviews shows steady demand - ask how they handle enquiries while on a job.","Old Basford, Nottingham","Gas, Plumbing & Electrical","Boiler servicing, plumbing, electrics",57,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=11/30 (57 reviews, 36% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Ignite Gas Plumbing & Electrics Ltd outside working hours, what happens to that enquiry?"
35,80,HeatWave Manchester,domestic trade,07842 799477,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it. 50 reviews shows steady demand - ask how they handle enquiries while on a job.",Manchester,Gas & Heating Engineering,"Plumbing, heating, gas services",50,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=10/30 (50 reviews, 32% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts HeatWave Manchester outside working hours, what happens to that enquiry?"
36,80,Nottingham Gas & Plumbing,domestic trade,0115 775 8080,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally. 138 reviews shows steady demand - ask how they handle enquiries while on a job.","Forest Fields, Nottingham",Gas & Plumbing Engineering,Emergency gas and plumbing services,138,4.8,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=20/30 (138 reviews, 68% of domestic trade) reputation=20/20 (4.8 excellent)","Quick one. When someone contacts Nottingham Gas & Plumbing outside working hours, what happens to that enquiry?"
37,79,2nd City Gas Plumbing & Heating Ltd,domestic trade,0121 426 6014,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally. 162 reviews shows steady demand - ask how they handle enquiries while on a job.","Harborne, Birmingham",Gas & Heating Engineering,"Boiler replacement, heating systems",162,4.5,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=23/30 (162 reviews, 76% of domestic trade) reputation=16/20 (4.5 strong)","Quick one. When someone contacts 2nd City Gas Plumbing & Heating Ltd outside working hours, what happens to that enquiry?"
38,79,Star Multifuels,fuel distribution,01269 822703,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Ammanford, Carmarthenshire",Oil & Multifuel Distribution,Heating oil and multifuel supply,188,4.8,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=29/30 (188 reviews, 95% of fuel distribution) reputation=20/20 (4.8 excellent)","Quick one. When a customer rings Star Multifuels to order fuel out of hours, what happens to that enquiry?"
39,79,Boiler Repair Glasgow,domestic trade,0141 280 0548,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally. 117 reviews shows steady demand - ask how they handle enquiries while on a job.",Glasgow,Gas & Heating Engineering,Boiler repair and installation,117,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=19/30 (117 reviews, 64% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Boiler Repair Glasgow outside working hours, what happens to that enquiry?"
