Company Name,Website,Industry,Services,Location,Number of Employees,Annual Revenue,Managing Director / Owner,Email Address,Phone Number,LinkedIn Company Page,Company LinkedIn URL,Decision Maker LinkedIn,Companies House Number,Uses CRM (unverified),Online Booking (unverified),Live Chat (unverified),Website Outdated Score (unverified),Google Reviews (verified),Google Rating (verified),Automation Opportunity,Suggested AI Automation Package,Opening Line,Lead Score /100
Your Maintenance Covered,,Building Services Maintenance,"Boiler, plumbing, roofing maintenance",London N1,,,,,0808 135 1594,,,,,,,,,486,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Job Scheduling; Internal Workflow Automation,"Quick one. When someone contacts Your Maintenance Covered outside working hours, what happens to that enquiry?",90
Goff Petroleum (Wymondham),,Oil & Fuel Distribution,Heating oil and fuel delivery,"Wymondham, Norwich",,,,,01953 713555,,,,,,,,,349,4.4,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Goff Petroleum (Wymondham) to order fuel out of hours, what happens to that enquiry?",85
Ashton Gas,,Gas Engineering,"Gas safety checks, boiler servicing",Bristol,,,,,0117 370 1849,,,,,,,,,165,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Ashton Gas outside working hours, what happens to that enquiry?",84
Bristol Gas Servicing Ltd,,Gas Engineering,"Boiler repair, replacement, servicing","Kingswood, Bristol",,,,,07453 279004,,,,,,,,,64,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Bristol Gas Servicing Ltd outside working hours, what happens to that enquiry?",84
UK Gas Plumbers,,Commercial Gas Engineering,"Commercial gas safety, catering gas certs",London,,,,,020 8935 5572,,,,,,,,,56,4.5,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts UK Gas Plumbers outside working hours, what happens to that enquiry?",84
Hybrid Heating and Gas LTD,,Gas & Oil Heating Engineering,"Gas safety, oil-fired boiler service and install","Bridgend, Wales",,,,,07515 535835,,,,,,,,,86,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When someone contacts Hybrid Heating and Gas LTD outside working hours, what happens to that enquiry?",84
Oil Tank Replacements Ltd,,Oil Infrastructure Services,Oil tank replacement and decommissioning,"Cullompton, Devon",,,,,07875 639214,,,,,,,,,180,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Oil Tank Replacements Ltd to order fuel out of hours, what happens to that enquiry?",84
Peter Foster Engineering Ltd,,Structural Engineering,Structural calculations and design,Bristol,,,,,07725 986933,,,,,,,,,95,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Peter Foster Engineering Ltd outside working hours, what happens to that enquiry?",84
Gas Safety Manchester Limited,,Gas Engineering,"Gas safety certificates, appliance connection",Manchester,,,,,07546 245568,,,,,,,,,168,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Gas Safety Manchester Limited outside working hours, what happens to that enquiry?",84
Bee Warm Heating,,Gas & Heating Engineering,Boiler repair and replacement,"Middleton, Manchester",,,,,0161 222 5953,,,,,,,,,61,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Bee Warm Heating outside working hours, what happens to that enquiry?",84
HeatWave Manchester,,Gas & Heating Engineering,"Plumbing, heating, gas services",Manchester,,,,,07842 799477,,,,,,,,,50,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts HeatWave Manchester outside working hours, what happens to that enquiry?",84
Swift Heat Gas Services,,Industrial & Commercial Gas Engineering,"Industrial boiler rooms, warehouse heaters","Bury, Manchester",,,,,0161 764 4539,,,,,,,,,52,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Swift Heat Gas Services outside working hours, what happens to that enquiry?",84
I-Fix Gas & Heating,,Gas & Heating Engineering,"Boiler replacement, radiator work",Birmingham,,,,,07598 278491,,,,,,,,,187,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts I-Fix Gas & Heating outside working hours, what happens to that enquiry?",84
2nd City Gas Plumbing & Heating Ltd,,Gas & Heating Engineering,"Boiler replacement, heating systems","Harborne, Birmingham",,,,,0121 426 6014,,,,,,,,,162,4.5,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts 2nd City Gas Plumbing & Heating Ltd outside working hours, what happens to that enquiry?",84
Gas & Plumbing Services Leeds,,Gas & Heating Engineering,"Boiler repair, install, emergency plumbing",Leeds,,,,,07552 765263,,,,,,,,,144,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Gas & Plumbing Services Leeds outside working hours, what happens to that enquiry?",84
Secure Gas 247,,Gas Engineering,"Emergency boiler repair, gas certs","Roundhay, Leeds",,,,,07515 314131,,,,,,,,,198,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Secure Gas 247 outside working hours, what happens to that enquiry?",84
Core Plumbing Heating Gas Ltd,,Gas & Heating Engineering,"Boiler repair, extension plumbing","Chapel Allerton, Leeds",,,,,07506 298849,,,,,,,,,79,4.8,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Core Plumbing Heating Gas Ltd outside working hours, what happens to that enquiry?",84
Gaswise Engineering,,Gas Engineering,"Boiler install, gas engineering",Leeds,,,,,07514 717070,,,,,,,,,76,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Gaswise Engineering outside working hours, what happens to that enquiry?",84
Banwy Fuels Ltd,,Oil Distribution,"Heating oil delivery, monthly payment plans","Welshpool, Powys",,,,,01938 810242,,,,,,,,,152,4.8,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Banwy Fuels Ltd to order fuel out of hours, what happens to that enquiry?",84
G D Jones & Son Ltd,,Oil Distribution,Heating oil delivery,"Gaerwen, Anglesey",,,,,01248 421333,,,,,,,,,57,4.8,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings G D Jones & Son Ltd to order fuel out of hours, what happens to that enquiry?",84
Star Multifuels,,Oil & Multifuel Distribution,Heating oil and multifuel supply,"Ammanford, Carmarthenshire",,,,,01269 822703,,,,,,,,,188,4.8,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Star Multifuels to order fuel out of hours, what happens to that enquiry?",84
J E Lawrence & Son Ltd,,Oil Distribution,Heating oil delivery,"Clarbeston Road, Pembrokeshire",,,,,01437 731306,,,,,,,,,71,4.6,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings J E Lawrence & Son Ltd to order fuel out of hours, what happens to that enquiry?",84
K P Thomas & Son,,Oil Distribution & Tank Services,"Heating oil, solid fuel, tank services","Narberth, Pembrokeshire",,,,,01834 290016,,,,,,,,,98,4.8,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings K P Thomas & Son to order fuel out of hours, what happens to that enquiry?",84
SA Heating Services,,Gas & Heating Engineering,"Boiler install, powerflushing",Glasgow,,,,,07507 809262,,,,,,,,,153,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts SA Heating Services outside working hours, what happens to that enquiry?",84
Gas Engineer Glasgow,,Gas Engineering,"Boiler repair, gas servicing","Rutherglen, Glasgow",,,,,0141 488 5457,,,,,,,,,59,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Gas Engineer Glasgow outside working hours, what happens to that enquiry?",84
IFix Gas Glasgow,,Gas Engineering,"Boiler replacement, gas leak repair",Glasgow,,,,,07835 060679,,,,,,,,,76,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts IFix Gas Glasgow outside working hours, what happens to that enquiry?",84
Boiler Repair Glasgow,,Gas & Heating Engineering,Boiler repair and installation,Glasgow,,,,,0141 280 0548,,,,,,,,,117,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Boiler Repair Glasgow outside working hours, what happens to that enquiry?",84
Glasgow Boiler Repairs,,Gas & Heating Engineering,"Boiler install, radiator systems",Glasgow,,,,,0141 766 1511,,,,,,,,,154,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Glasgow Boiler Repairs outside working hours, what happens to that enquiry?",84
Gas Glow,,Gas & Heating Engineering,"Boiler install, gas appliance fitting","Rutherglen, Glasgow",,,,,0141 291 5087,,,,,,,,,65,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Gas Glow outside working hours, what happens to that enquiry?",84
"G.S. Plumbing, Heating & Gas",,Gas & Heating Engineering,"Boiler install, radiators, bathrooms","Giffnock, Glasgow",,,,,07952 030504,,,,,,,,,78,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts G.S. Plumbing, Heating & Gas outside working hours, what happens to that enquiry?",84
Nottingham Gas & Plumbing,,Gas & Plumbing Engineering,Emergency gas and plumbing services,"Forest Fields, Nottingham",,,,,0115 775 8080,,,,,,,,,138,4.8,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Nottingham Gas & Plumbing outside working hours, what happens to that enquiry?",84
Gaswise UK,,Gas Engineering,"Boiler service, gas safety",Nottingham,,,,,07747 145211,,,,,,,,,87,4.7,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Gaswise UK outside working hours, what happens to that enquiry?",84
Mega Gas Services Ltd,,Gas Engineering,"Boiler replacement, heating pipework",Nottingham,,,,,07913 906111,,,,,,,,,92,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Mega Gas Services Ltd outside working hours, what happens to that enquiry?",84
Nottingham Plumbing and Heating Services,,Gas & Heating Engineering,"Boiler repair, gas pipe replacement","Carlton, Nottingham",,,,,07795 350018,,,,,,,,,133,4.8,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Nottingham Plumbing and Heating Services outside working hours, what happens to that enquiry?",84
Phil Humberstone Plumbing And Heating,,Gas & Heating Engineering,Boiler install and servicing,"Mapperley, Nottingham",,,,,07774 277203,,,,,,,,,114,4.8,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Phil Humberstone Plumbing And Heating outside working hours, what happens to that enquiry?",84
Efficient Maintenance Limited,,Building Services Maintenance,Electrical maintenance services,London EC2A,,,,,020 3005 5285,,,,,,,,,62,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Job Scheduling; Internal Workflow Automation,"Quick one. When someone contacts Efficient Maintenance Limited outside working hours, what happens to that enquiry?",84
SCV Electrical Limited,,Electrical Engineering / Maintenance,"Electrical inspection, rewiring","Stepney Green, London",,,,,020 7123 8400,,,,,,,,,69,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Job Scheduling; Internal Workflow Automation,"Quick one. When someone contacts SCV Electrical Limited outside working hours, what happens to that enquiry?",84
Eol Maintenance Services,,Building Services Maintenance,"Electrical, plumbing, general maintenance",London EC3V,,,,,020 8252 9789,,,,,,,,,70,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Job Scheduling; Internal Workflow Automation,"Quick one. When someone contacts Eol Maintenance Services outside working hours, what happens to that enquiry?",84
DL Gas & Maintenance Ltd,,Gas & Building Maintenance,"Boiler servicing, gas supply, flue work","Bow, London",,,,,020 3370 2019,,,,,,,,,73,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Job Scheduling; Internal Workflow Automation,"Quick one. When someone contacts DL Gas & Maintenance Ltd outside working hours, what happens to that enquiry?",84
The Construction Solutions Group Ltd,,Construction & Maintenance,"Plumbing, roofing, leak detection",London EC3V,,,,,0333 444 0254,,,,,,,,,64,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Job Scheduling; Internal Workflow Automation,"Quick one. When someone contacts The Construction Solutions Group Ltd outside working hours, what happens to that enquiry?",84
Goff Petroleum (Tenterden),,Oil & Fuel Distribution,Heating oil delivery,"Tenterden, Kent",,,,,01892 513861,,,,,,,,,86,4.5,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Goff Petroleum (Tenterden) to order fuel out of hours, what happens to that enquiry?",84
Western Fuel Depot,,Oil & Fuel Distribution,Heating oil and diesel delivery,"Bridgwater, Somerset",,,,,01278 431451,,,,,,,,,99,4.4,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Western Fuel Depot to order fuel out of hours, what happens to that enquiry?",79
Bearwood Gas Services,,Gas Engineering,"Gas fire servicing, safety certificates","Bearwood, Birmingham",,,,,0121 429 7833,,,,,,,,,55,4.3,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Bearwood Gas Services outside working hours, what happens to that enquiry?",79
United Fuels,,Oil Distribution,Heating oil delivery,"Skipton, N Yorkshire",,,,,01756 691222,,,,,,,,,55,3.8,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings United Fuels to order fuel out of hours, what happens to that enquiry?",79
Northern Energy Gas Ltd,,LPG & Oil Distribution,LPG and heating oil supply,"Hampsthwaite, Harrogate",,,,,01423 772789,,,,,,,,,111,4.3,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Northern Energy Gas Ltd to order fuel out of hours, what happens to that enquiry?",79
Tate Oil,,Oil Distribution,Heating oil and fuel delivery,"Otley, Leeds",,,,,01943 467444,,,,,,,,,72,4.2,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Tate Oil to order fuel out of hours, what happens to that enquiry?",79
Geoff Boorman Fuels,,Oil Distribution,Heating oil delivery,"Edenbridge, Kent",,,,,01732 863834,,,,,,,,,53,3.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Geoff Boorman Fuels to order fuel out of hours, what happens to that enquiry?",79
Unitary Engineering Services Ltd,,Commercial Gas & Heating Engineering,"Commercial gas pipework, heat pumps, boiler install",Bristol,,,,,0117 951 9020,,,,,,,,,29,4.6,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Unitary Engineering Services Ltd outside working hours, what happens to that enquiry?",78
Southern Fuels Ltd,,Oil Distribution,Heating oil delivery,"Honiton, Devon",,,,,01404 831775,,,,,,,,,18,4.5,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Southern Fuels Ltd to order fuel out of hours, what happens to that enquiry?",78
EG Martin,,Oil Distribution,Heating oil delivery,"Westbury, Wiltshire",,,,,01373 822784,,,,,,,,,36,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings EG Martin to order fuel out of hours, what happens to that enquiry?",78
Shire Fuels Ltd,,Oil Distribution,Heating oil delivery,"Cinderford, Gloucestershire",,,,,01594 738139,,,,,,,,,10,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Shire Fuels Ltd to order fuel out of hours, what happens to that enquiry?",78
Croft Engineering Bristol Ltd,,Industrial Engineering,"General engineering, machine shop repairs","Fishponds, Bristol",,,,,0117 958 3286,,,,,,,,,13,4.7,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Croft Engineering Bristol Ltd currently handle enquiry intake and quoting when the team is stretched?,78
Space Engineering Services,,Industrial Engineering,Engineering services and manufacturing,"Brislington, Bristol",,,,,0117 977 8833,,,,,,,,,13,4.5,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Space Engineering Services currently handle enquiry intake and quoting when the team is stretched?,78
Manchester Gas and Heating Ltd,,Gas & Heating Engineering,"Full heating system install, boiler service","Salford, Manchester",,,,,07960 042563,,,,,,,,,33,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Manchester Gas and Heating Ltd outside working hours, what happens to that enquiry?",78
N Gas Services Uk Ltd,,Gas Engineering,"Boiler service, gas appliance install",Birmingham,,,,,07446 964536,,,,,,,,,19,4.8,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts N Gas Services Uk Ltd outside working hours, what happens to that enquiry?",78
LV Fuel and Oil Tank Services,,Oil Infrastructure Services,"Oil tank replacement, fuel services","Fellbeck, N Yorkshire",,,,,0800 799 9739,,,,,,,,,41,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings LV Fuel and Oil Tank Services to order fuel out of hours, what happens to that enquiry?",78
Lynx Fuels,,Oil Distribution,Kerosene and heating oil delivery,"Leeming Bar, Northallerton",,,,,01677 455140,,,,,,,,,33,4.8,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Lynx Fuels to order fuel out of hours, what happens to that enquiry?",78
Kelwick Engineering (GKE) Ltd,,Industrial Engineering,Engineering consultancy and manufacturing,Sheffield,,,,,0114 294 5519,,,,,,,,,23,4.5,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Kelwick Engineering (GKE) Ltd currently handle enquiry intake and quoting when the team is stretched?,78
Mayflower Engineering Ltd,,Structural Steel Engineering,"Structural steel fabrication, major projects",Sheffield,,,,,0114 244 1353,,,,,,,,,27,4.6,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Mayflower Engineering Ltd outside working hours, what happens to that enquiry?",78
Tinsley Bridge Group,,Industrial Engineering / Manufacturing,Engineering manufacturing,"Tinsley, Sheffield",,,,,0114 221 1111,,,,,,,,,12,4.8,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Tinsley Bridge Group currently handle enquiry intake and quoting when the team is stretched?,78
ScotWater,,Pipeline Contracting,"Lead pipe replacement, mains work",Edinburgh,,,,,0131 381 7770,,,,,,,,,16,5.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does ScotWater currently handle enquiry intake and quoting when the team is stretched?,78
Trenchless Installations,,Pipeline Contracting,Trenchless lead pipe replacement,Edinburgh,,,,,07595 024915,,,,,,,,,38,5.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Trenchless Installations currently handle enquiry intake and quoting when the team is stretched?,78
The Waterman Scotland Ltd,,Water Infrastructure Contracting,"Borehole drilling, filtration systems","Bridge of Allan, Stirling",,,,,07917 906309,,,,,,,,,17,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts The Waterman Scotland Ltd outside working hours, what happens to that enquiry?",78
GasPlumb,,Gas & Plumbing Engineering,"Gas leak repair, servicing","Moortown, Leeds",,,,,07778 950491,,,,,,,,,41,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts GasPlumb outside working hours, what happens to that enquiry?",78
GSR Gas & Plumbing Services,,Gas & Plumbing Engineering,"Boiler repair, gas servicing","Meanwood, Leeds",,,,,07429 700844,,,,,,,,,47,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts GSR Gas & Plumbing Services outside working hours, what happens to that enquiry?",78
H W Humphreys & Son,,Oil Distribution,Heating oil delivery,"Porthmadog, Gwynedd",,,,,01766 513017,,,,,,,,,36,4.7,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings H W Humphreys & Son to order fuel out of hours, what happens to that enquiry?",78
Anglesey Oil Ltd / Olew Mon Cyf,,Oil Distribution,Heating oil delivery,"Gaerwen, Anglesey",,,,,01248 421641,,,,,,,,,23,4.7,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Anglesey Oil Ltd / Olew Mon Cyf to order fuel out of hours, what happens to that enquiry?",78
Ideal Gas Solutions,,Gas Engineering,Boiler repair and servicing,Glasgow,,,,,07307 600250,,,,,,,,,31,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Ideal Gas Solutions outside working hours, what happens to that enquiry?",78
Taylor Engineering & Fabrications Ltd,,Engineering & Fabrication,"Specialist welding, fabrication","Nechells, Birmingham",,,,,0121 326 9035,,,,,,,,,12,4.9,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Taylor Engineering & Fabrications Ltd currently handle enquiry intake and quoting when the team is stretched?,78
Progas Heating & Plumbing Services Ltd,,Gas & Heating Engineering,Boiler replacement and repair,Nottingham,,,,,07503 726428,,,,,,,,,22,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Progas Heating & Plumbing Services Ltd outside working hours, what happens to that enquiry?",78
RMG Plumbing & Gas Services,,Gas & Plumbing Engineering,"Boiler servicing, commercial contracts","Gedling, Nottingham",,,,,07825 412721,,,,,,,,,15,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts RMG Plumbing & Gas Services outside working hours, what happens to that enquiry?",78
Notts Gas & Electrical Ltd,,Gas & Electrical Engineering,"Boiler fitting, EPC, fire risk assessment",Nottingham,,,,,0115 990 3308,,,,,,,,,28,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Notts Gas & Electrical Ltd outside working hours, what happens to that enquiry?",78
